PropertyCategory,DateOfCall,Notional Cost (£)
Dwelling,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,4576.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Outdoor Structure,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Non Residential,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Other Residential,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Non Residential,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Outdoor Structure,27 May 2021,352.0
Dwelling,27 May 2021,704.0
Outdoor,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Outdoor Structure,27 May 2021,352.0
Dwelling,27 May 2021,704.0
Outdoor Structure,27 May 2021,0.0
Non Residential,27 May 2021,352.0
Outdoor,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Outdoor Structure,27 May 2021,352.0
Outdoor Structure,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Non Residential,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,0.0
Dwelling,27 May 2021,1056.0
Outdoor,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Non Residential,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,3872.0
Dwelling,27 May 2021,352.0
Outdoor,27 May 2021,0.0
Non Residential,27 May 2021,352.0
Outdoor,27 May 2021,352.0
Dwelling,27 May 2021,1056.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,704.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,0.0
Road Vehicle,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Outdoor,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,27 May 2021,704.0
Non Residential,27 May 2021,352.0
Non Residential,27 May 2021,352.0
Dwelling,27 May 2021,352.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,704.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Outdoor Structure,28 May 2021,0.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Outdoor Structure,28 May 2021,2112.0
Dwelling,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,704.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,1056.0
Other Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,704.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,0.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Road Vehicle,28 May 2021,704.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,0.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,1056.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,1760.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,1760.0
Non Residential,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,0.0
Road Vehicle,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,2112.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,704.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,1056.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Road Vehicle,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Non Residential,28 May 2021,0.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,1056.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,1056.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,704.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor Structure,28 May 2021,352.0
Other Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Outdoor,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Non Residential,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Dwelling,28 May 2021,352.0
Road Vehicle,28 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,0.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Outdoor,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Outdoor Structure,29 May 2021,1056.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Outdoor Structure,29 May 2021,704.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Dwelling,29 May 2021,4576.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Road Vehicle,29 May 2021,1408.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,2112.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,0.0
Non Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1408.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,704.0
Outdoor Structure,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,704.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Dwelling,29 May 2021,704.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1760.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,1056.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,704.0
Outdoor Structure,29 May 2021,704.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,704.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Non Residential,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,1056.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Road Vehicle,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Outdoor,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,704.0
Outdoor,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Other Residential,29 May 2021,352.0
Dwelling,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,1760.0
Dwelling,29 May 2021,704.0
Non Residential,29 May 2021,1056.0
Outdoor,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Other Residential,29 May 2021,704.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Road Vehicle,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Non Residential,29 May 2021,352.0
Dwelling,29 May 2021,352.0
Outdoor Structure,29 May 2021,352.0
Outdoor Structure,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Non Residential,30 May 2021,352.0
Other Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Non Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Outdoor,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Road Vehicle,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Non Residential,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Outdoor,30 May 2021,352.0
Road Vehicle,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,1056.0
Outdoor Structure,30 May 2021,0.0
Outdoor,30 May 2021,704.0
Dwelling,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Non Residential,30 May 2021,352.0
Dwelling,30 May 2021,704.0
Outdoor,30 May 2021,352.0
Outdoor Structure,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,1760.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Outdoor,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Outdoor Structure,30 May 2021,1408.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Road Vehicle,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Other Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,1760.0
Dwelling,30 May 2021,352.0
Road Vehicle,30 May 2021,352.0
Other Residential,30 May 2021,704.0
Other Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Other Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,1056.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Other Residential,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Non Residential,30 May 2021,352.0
Outdoor,30 May 2021,704.0
Dwelling,30 May 2021,352.0
Dwelling,30 May 2021,352.0
Outdoor,30 May 2021,352.0
Dwelling,30 May 2021,352.0
