IncidentGroup,DateOfCall,Notional Cost (£)
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
False Alarm,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,692.0
Fire,2021-02-05,346.0
Special Service,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
False Alarm,2021-02-05,692.0
False Alarm,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,1384.0
Fire,2021-02-05,1384.0
False Alarm,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,692.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,692.0
False Alarm,2021-02-05,692.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,0.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,692.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
Special Service,2021-02-05,346.0
Fire,2021-02-05,346.0
False Alarm,2021-02-05,692.0
Special Service,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
Special Service,2021-02-05,692.0
False Alarm,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
Special Service,2021-02-05,0.0
False Alarm,2021-02-05,692.0
False Alarm,2021-02-05,346.0
Fire,2021-02-05,346.0
False Alarm,2021-02-05,346.0
Special Service,2021-02-05,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,692.0
Fire,2021-02-06,692.0
Fire,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,692.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,692.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,692.0
Fire,2021-02-06,1384.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,692.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
Fire,2021-02-06,692.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,692.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,0.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,692.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,1038.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,1038.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,4844.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,1384.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,1384.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,97572.0
Fire,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,2422.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,692.0
Special Service,2021-02-06,692.0
Special Service,2021-02-06,692.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,1038.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,692.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,346.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,346.0
Fire,2021-02-06,692.0
Fire,2021-02-06,692.0
Fire,2021-02-06,346.0
False Alarm,2021-02-06,692.0
Special Service,2021-02-06,346.0
Fire,2021-02-06,692.0
Special Service,2021-02-06,346.0
False Alarm,2021-02-06,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,692.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,692.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,3460.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,1384.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,0.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,692.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,1038.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,692.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,692.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,692.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,1038.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,1038.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,0.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,6228.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,1038.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,692.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,1038.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
False Alarm,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,1038.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,692.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Fire,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,1384.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,692.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,346.0
False Alarm,2021-02-07,692.0
Special Service,2021-02-07,346.0
Special Service,2021-02-07,346.0
Fire,2021-02-07,692.0
Special Service,2021-02-07,346.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-07,692.0
False Alarm,2021-02-07,346.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,1730.0
Special Service,2021-02-08,0.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,1038.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
False Alarm,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,0.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,692.0
Fire,2021-02-08,3114.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,692.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,1038.0
Fire,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,1730.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
False Alarm,2021-02-08,692.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,1038.0
Fire,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,692.0
Fire,2021-02-08,1038.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,1730.0
Fire,2021-02-08,1038.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,1730.0
Special Service,2021-02-08,1038.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,692.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,1384.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Fire,2021-02-08,8304.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,1384.0
Special Service,2021-02-08,692.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Fire,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,1038.0
Special Service,2021-02-08,1038.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,1038.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,692.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,692.0
False Alarm,2021-02-08,692.0
Fire,2021-02-08,692.0
Special Service,2021-02-08,346.0
False Alarm,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,346.0
Special Service,2021-02-08,1384.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,692.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,692.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,2768.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Fire,2021-02-09,346.0
False Alarm,2021-02-09,692.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,0.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Fire,2021-02-09,1038.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Fire,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Fire,2021-02-09,692.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Fire,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,692.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Special Service,2021-02-09,346.0
Fire,2021-02-09,6574.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,692.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Fire,2021-02-09,1384.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
False Alarm,2021-02-09,346.0
Special Service,2021-02-09,346.0
